t;Csour;Esol;Rt;A_405;A_450;A_492;A_630;A405;A450;A492;A630;;;;;;;;;;;;;;
30;CT;N2;50;0.288;0.289;0.319;0.352;0.236;0.248;0.276;0.31;;;;;;;;;;;;;;
30;CT;N2;60;0.291;0.288;0.316;0.307;0.239;0.247;0.273;0.265;;;;;;;;;;;;;;
30;CT;N2;70;0.318;0.329;0.364;0.336;0.266;0.288;0.321;0.294;;;;;;;;;;;;;;
30;CT;N2;80;0.263;0.27;0.298;0.291;0.211;0.229;0.255;0.249;;;;;;;;;;;;;;
30;FS;N3;10;0.197;0.199;0.198;0.24;0.14;0.153;0.155;0.19;;;;;;;;;;;;;;
30;FS;N3;20;0.149;0.152;0.154;0.17;0.092;0.106;0.111;0.12;;;;;;;;;;;;;;
30;FS;N3;30;0.113;0.111;0.111;0.142;0.056;0.065;0.068;0.092;;;;;;;;;;;;;;
30;FS;N3;40;0.155;0.149;0.144;0.151;0.098;0.103;0.101;0.101;;;;;;;;;;;;;;
30;FS;N3;50;0.147;0.146;0.147;0.189;0.09;0.1;0.104;0.139;;;;;;;;;;;;;;
30;FS;N3;60;0.157;0.151;0.15;0.145;0.1;0.105;0.107;0.095;;;;;;;;;;;;;;
30;FS;N3;70;0.176;0.188;0.195;0.169;0.119;0.142;0.152;0.119;;;;;;;;;;;;;;
30;FS;N3;80;0.124;0.128;0.13;0.129;0.067;0.082;0.087;0.079;;;;;;;;;;;;;;
30;CT;N3;10;0.208;0.212;0.216;0.257;0.127;0.135;0.152;0.181;;;;;;;;;;;;;;
30;CT;N3;20;0.144;0.147;0.149;0.166;0.063;0.07;0.085;0.09;;;;;;;;;;;;;;
30;CT;N3;30;0.159;0.159;0.159;0.193;0.078;0.082;0.095;0.117;;;;;;;;;;;;;;
30;CT;N3;40;0.204;0.199;0.198;0.206;0.123;0.122;0.134;0.13;;;;;;;;;;;;;;
30;CT;N3;50;0.247;0.25;0.252;0.291;0.166;0.173;0.188;0.215;;;;;;;;;;;;;;
30;CT;N3;60;0.213;0.215;0.22;0.216;0.132;0.138;0.156;0.14;;;;;;;;;;;;;;
30;CT;N3;70;0.29;0.311;0.321;0.293;0.209;0.234;0.257;0.217;;;;;;;;;;;;;;
30;CT;N3;80;0.232;0.253;0.26;0.257;0.151;0.176;0.196;0.181;;;;;;;;;;;;;;
30;CC;N1;10;0.197;0.199;0.198;0.24;0.126;0.141;0.139;0.179;;;;;;;;;;;;;;
30;CC;N1;20;0.149;0.152;0.154;0.17;0.078;0.094;0.095;0.109;;;;;;;;;;;;;;
30;CC;N1;30;0.113;0.111;0.111;0.142;0.042;0.053;0.052;0.081;;;;;;;;;;;;;;
30;CC;N1;40;0.155;0.149;0.144;0.151;0.084;0.091;0.085;0.09;;;;;;;;;;;;;;
30;CC;N1;50;0.147;0.146;0.147;0.189;0.076;0.088;0.088;0.128;;;;;;;;;;;;;;
30;CC;N1;60;0.157;0.151;0.15;0.145;0.086;0.093;0.091;0.084;;;;;;;;;;;;;;
30;CC;N1;70;0.176;0.188;0.195;0.169;0.105;0.13;0.136;0.108;;;;;;;;;;;;;;
30;CC;N1;80;0.124;0.128;0.13;0.129;0.053;0.07;0.071;0.068;;;;;;;;;;;;;;
30;CC;N2;10;0.304;0.305;0.307;0.341;0.245;0.245;0.233;0.288;;;;;;;;;;;;;;
30;CC;N2;20;0.297;0.297;0.315;0.326;0.238;0.237;0.241;0.273;;;;;;;;;;;;;;
30;CC;N2;30;0.32;0.32;0.35;0.375;0.261;0.26;0.276;0.322;;;;;;;;;;;;;;
30;CC;N2;40;0.329;0.324;0.349;0.354;0.27;0.264;0.275;0.301;;;;;;;;;;;;;;
30;CC;N2;50;0.345;0.347;0.378;0.411;0.286;0.287;0.304;0.358;;;;;;;;;;;;;;
30;CC;N2;60;0.348;0.347;0.388;0.381;0.289;0.287;0.314;0.328;;;;;;;;;;;;;;
30;CC;N2;70;0.284;0.296;0.326;0.302;0.225;0.236;0.252;0.249;;;;;;;;;;;;;;
30;CC;N2;80;0.239;0.245;0.271;0.27;0.18;0.185;0.197;0.217;;;;;;;;;;;;;;
30;CS;N1;10;0.188;0.191;0.2;0.231;0.101;0.098;0.092;0.15;;;;;;;;;;;;;;
30;CS;N1;20;0.117;0.117;0.122;0.138;0.03;0.024;0.014;0.057;;;;;;;;;;;;;;
30;CS;N1;30;0.128;0.13;0.132;0.165;0.041;0.037;0.024;0.084;;;;;;;;;;;;;;
30;CS;N1;40;0.163;0.155;0.157;0.167;0.076;0.062;0.049;0.086;;;;;;;;;;;;;;
